temp_bin,rainfall_bin,height_bin,count
"(16.0, 20.0]","(2.0, 2.5]","(1600.0, 1800.0]",11
"(16.0, 20.0]","(2.0, 2.5]","(1800.0, 2000.0]",2
"(16.0, 20.0]","(2.5, 3.0]","(-0.001, 200.0]",1594
"(16.0, 20.0]","(2.5, 3.0]","(200.0, 400.0]",313
"(16.0, 20.0]","(2.5, 3.0]","(400.0, 600.0]",94
"(16.0, 20.0]","(2.5, 3.0]","(600.0, 800.0]",130
"(16.0, 20.0]","(2.5, 3.0]","(800.0, 1000.0]",43
"(16.0, 20.0]","(2.5, 3.0]","(1000.0, 1200.0]",36
"(16.0, 20.0]","(2.5, 3.0]","(1400.0, 1600.0]",2
"(16.0, 20.0]","(2.5, 3.0]","(1600.0, 1800.0]",13
"(16.0, 20.0]","(2.5, 3.0]","(1800.0, 2000.0]",2
"(16.0, 20.0]","(3.0, 3.5]","(-0.001, 200.0]",900
"(16.0, 20.0]","(3.0, 3.5]","(200.0, 400.0]",148
"(16.0, 20.0]","(3.0, 3.5]","(400.0, 600.0]",45
"(16.0, 20.0]","(3.0, 3.5]","(600.0, 800.0]",56
"(16.0, 20.0]","(3.0, 3.5]","(800.0, 1000.0]",17
"(16.0, 20.0]","(3.0, 3.5]","(1000.0, 1200.0]",25
"(16.0, 20.0]","(3.0, 3.5]","(1400.0, 1600.0]",1
"(16.0, 20.0]","(3.0, 3.5]","(1600.0, 1800.0]",5
"(16.0, 20.0]","(3.0, 3.5]","(1800.0, 2000.0]",1
"(16.0, 20.0]","(3.5, 4.0]","(-0.001, 200.0]",1133
"(16.0, 20.0]","(3.5, 4.0]","(200.0, 400.0]",231
"(16.0, 20.0]","(3.5, 4.0]","(400.0, 600.0]",79
"(16.0, 20.0]","(3.5, 4.0]","(600.0, 800.0]",87
"(16.0, 20.0]","(3.5, 4.0]","(800.0, 1000.0]",40
"(16.0, 20.0]","(3.5, 4.0]","(1000.0, 1200.0]",36
"(16.0, 20.0]","(3.5, 4.0]","(1400.0, 1600.0]",2
"(16.0, 20.0]","(3.5, 4.0]","(1600.0, 1800.0]",10
"(16.0, 20.0]","(4.0, 4.5]","(-0.001, 200.0]",650
"(16.0, 20.0]","(4.0, 4.5]","(200.0, 400.0]",124
"(16.0, 20.0]","(4.0, 4.5]","(400.0, 600.0]",37
"(16.0, 20.0]","(4.0, 4.5]","(600.0, 800.0]",47
"(16.0, 20.0]","(4.0, 4.5]","(800.0, 1000.0]",18
"(16.0, 20.0]","(4.0, 4.5]","(1000.0, 1200.0]",25
"(16.0, 20.0]","(4.0, 4.5]","(1600.0, 1800.0]",6
"(16.0, 20.0]","(4.0, 4.5]","(1800.0, 2000.0]",1
"(16.0, 20.0]","(4.5, 5.0]","(-0.001, 200.0]",815
"(16.0, 20.0]","(4.5, 5.0]","(200.0, 400.0]",178
"(16.0, 20.0]","(4.5, 5.0]","(400.0, 600.0]",43
"(16.0, 20.0]","(4.5, 5.0]","(600.0, 800.0]",75
"(16.0, 20.0]","(4.5, 5.0]","(800.0, 1000.0]",21
"(16.0, 20.0]","(4.5, 5.0]","(1000.0, 1200.0]",29
"(16.0, 20.0]","(4.5, 5.0]","(1400.0, 1600.0]",4
"(16.0, 20.0]","(4.5, 5.0]","(1600.0, 1800.0]",2
"(20.0, 24.0]","(-0.001, 0.5]","(-0.001, 200.0]",66637
"(20.0, 24.0]","(-0.001, 0.5]","(200.0, 400.0]",15884
"(20.0, 24.0]","(-0.001, 0.5]","(400.0, 600.0]",5666
"(20.0, 24.0]","(-0.001, 0.5]","(600.0, 800.0]",5408
"(20.0, 24.0]","(-0.001, 0.5]","(800.0, 1000.0]",1754
"(20.0, 24.0]","(-0.001, 0.5]","(1000.0, 1200.0]",1692
"(20.0, 24.0]","(-0.001, 0.5]","(1400.0, 1600.0]",135
"(20.0, 24.0]","(-0.001, 0.5]","(1600.0, 1800.0]",383
"(20.0, 24.0]","(-0.001, 0.5]","(1800.0, 2000.0]",64
"(20.0, 24.0]","(0.5, 1.0]","(-0.001, 200.0]",3424
"(20.0, 24.0]","(0.5, 1.0]","(200.0, 400.0]",631
"(20.0, 24.0]","(0.5, 1.0]","(400.0, 600.0]",197
"(20.0, 24.0]","(0.5, 1.0]","(600.0, 800.0]",272
"(20.0, 24.0]","(0.5, 1.0]","(800.0, 1000.0]",103
"(20.0, 24.0]","(0.5, 1.0]","(1000.0, 1200.0]",89
"(20.0, 24.0]","(0.5, 1.0]","(1400.0, 1600.0]",3
"(20.0, 24.0]","(0.5, 1.0]","(1600.0, 1800.0]",14
"(20.0, 24.0]","(0.5, 1.0]","(1800.0, 2000.0]",1
"(20.0, 24.0]","(1.0, 1.5]","(-0.001, 200.0]",1405
"(20.0, 24.0]","(1.0, 1.5]","(200.0, 400.0]",271
"(20.0, 24.0]","(1.0, 1.5]","(400.0, 600.0]",77
"(20.0, 24.0]","(1.0, 1.5]","(600.0, 800.0]",96
"(20.0, 24.0]","(1.0, 1.5]","(800.0, 1000.0]",38
"(20.0, 24.0]","(1.0, 1.5]","(1000.0, 1200.0]",34
"(20.0, 24.0]","(1.0, 1.5]","(1400.0, 1600.0]",1
"(20.0, 24.0]","(1.0, 1.5]","(1600.0, 1800.0]",3
"(20.0, 24.0]","(1.5, 2.0]","(-0.001, 200.0]",1648
"(20.0, 24.0]","(1.5, 2.0]","(200.0, 400.0]",299
"(20.0, 24.0]","(1.5, 2.0]","(400.0, 600.0]",103
"(20.0, 24.0]","(1.5, 2.0]","(600.0, 800.0]",148
"(20.0, 24.0]","(1.5, 2.0]","(800.0, 1000.0]",37
"(20.0, 24.0]","(1.5, 2.0]","(1000.0, 1200.0]",42
"(20.0, 24.0]","(1.5, 2.0]","(1400.0, 1600.0]",1
"(20.0, 24.0]","(1.5, 2.0]","(1600.0, 1800.0]",3
"(20.0, 24.0]","(1.5, 2.0]","(1800.0, 2000.0]",1
"(20.0, 24.0]","(2.0, 2.5]","(-0.001, 200.0]",785
"(20.0, 24.0]","(2.0, 2.5]","(200.0, 400.0]",158
"(20.0, 24.0]","(2.0, 2.5]","(400.0, 600.0]",43
"(20.0, 24.0]","(2.0, 2.5]","(600.0, 800.0]",72
"(20.0, 24.0]","(2.0, 2.5]","(800.0, 1000.0]",14
"(20.0, 24.0]","(2.0, 2.5]","(1000.0, 1200.0]",26
"(20.0, 24.0]","(2.0, 2.5]","(1600.0, 1800.0]",5
"(20.0, 24.0]","(2.0, 2.5]","(1800.0, 2000.0]",1
"(20.0, 24.0]","(2.5, 3.0]","(-0.001, 200.0]",1081
"(20.0, 24.0]","(2.5, 3.0]","(200.0, 400.0]",168
"(20.0, 24.0]","(2.5, 3.0]","(400.0, 600.0]",60
"(20.0, 24.0]","(2.5, 3.0]","(600.0, 800.0]",74
"(20.0, 24.0]","(2.5, 3.0]","(800.0, 1000.0]",22
"(20.0, 24.0]","(2.5, 3.0]","(1000.0, 1200.0]",37
"(20.0, 24.0]","(2.5, 3.0]","(1400.0, 1600.0]",1
"(20.0, 24.0]","(2.5, 3.0]","(1600.0, 1800.0]",2
"(20.0, 24.0]","(3.0, 3.5]","(-0.001, 200.0]",554
"(20.0, 24.0]","(3.0, 3.5]","(200.0, 400.0]",86
"(20.0, 24.0]","(3.0, 3.5]","(400.0, 600.0]",29
"(20.0, 24.0]","(3.0, 3.5]","(600.0, 800.0]",51
"(20.0, 24.0]","(3.0, 3.5]","(800.0, 1000.0]",11
"(20.0, 24.0]","(3.0, 3.5]","(1000.0, 1200.0]",9
"(20.0, 24.0]","(3.0, 3.5]","(1600.0, 1800.0]",4
"(20.0, 24.0]","(3.5, 4.0]","(-0.001, 200.0]",726
"(20.0, 24.0]","(3.5, 4.0]","(200.0, 400.0]",109
"(20.0, 24.0]","(3.5, 4.0]","(400.0, 600.0]",43
"(20.0, 24.0]","(3.5, 4.0]","(600.0, 800.0]",72
"(20.0, 24.0]","(3.5, 4.0]","(800.0, 1000.0]",28
"(20.0, 24.0]","(3.5, 4.0]","(1000.0, 1200.0]",24
"(20.0, 24.0]","(3.5, 4.0]","(1600.0, 1800.0]",1
"(20.0, 24.0]","(4.0, 4.5]","(-0.001, 200.0]",481
"(20.0, 24.0]","(4.0, 4.5]","(200.0, 400.0]",91
"(20.0, 24.0]","(4.0, 4.5]","(400.0, 600.0]",32
"(20.0, 24.0]","(4.0, 4.5]","(600.0, 800.0]",32
"(20.0, 24.0]","(4.0, 4.5]","(800.0, 1000.0]",11
"(20.0, 24.0]","(4.0, 4.5]","(1000.0, 1200.0]",10
"(20.0, 24.0]","(4.0, 4.5]","(1400.0, 1600.0]",2
"(20.0, 24.0]","(4.0, 4.5]","(1600.0, 1800.0]",1
"(20.0, 24.0]","(4.5, 5.0]","(-0.001, 200.0]",563
"(20.0, 24.0]","(4.5, 5.0]","(200.0, 400.0]",94
"(20.0, 24.0]","(4.5, 5.0]","(400.0, 600.0]",42
"(20.0, 24.0]","(4.5, 5.0]","(600.0, 800.0]",56
"(20.0, 24.0]","(4.5, 5.0]","(800.0, 1000.0]",8
"(20.0, 24.0]","(4.5, 5.0]","(1000.0, 1200.0]",24
"(20.0, 24.0]","(4.5, 5.0]","(1400.0, 1600.0]",2
"(20.0, 24.0]","(4.5, 5.0]","(1600.0, 1800.0]",1
"(24.0, 28.0]","(-0.001, 0.5]","(-0.001, 200.0]",59010
"(24.0, 28.0]","(-0.001, 0.5]","(200.0, 400.0]",17474
"(24.0, 28.0]","(-0.001, 0.5]","(400.0, 600.0]",5209
"(24.0, 28.0]","(-0.001, 0.5]","(600.0, 800.0]",4469
"(24.0, 28.0]","(-0.001, 0.5]","(800.0, 1000.0]",1360
"(24.0, 28.0]","(-0.001, 0.5]","(1000.0, 1200.0]",1295
"(24.0, 28.0]","(-0.001, 0.5]","(1400.0, 1600.0]",26
"(24.0, 28.0]","(-0.001, 0.5]","(1600.0, 1800.0]",115
"(24.0, 28.0]","(-0.001, 0.5]","(1800.0, 2000.0]",12
"(24.0, 28.0]","(0.5, 1.0]","(-0.001, 200.0]",2355
"(24.0, 28.0]","(0.5, 1.0]","(200.0, 400.0]",405
"(24.0, 28.0]","(0.5, 1.0]","(400.0, 600.0]",150
"(24.0, 28.0]","(0.5, 1.0]","(600.0, 800.0]",150
"(24.0, 28.0]","(0.5, 1.0]","(800.0, 1000.0]",61
"(24.0, 28.0]","(0.5, 1.0]","(1000.0, 1200.0]",53
"(24.0, 28.0]","(0.5, 1.0]","(1400.0, 1600.0]",1
"(24.0, 28.0]","(0.5, 1.0]","(1600.0, 1800.0]",5
"(24.0, 28.0]","(1.0, 1.5]","(-0.001, 200.0]",1060
"(24.0, 28.0]","(1.0, 1.5]","(200.0, 400.0]",174
"(24.0, 28.0]","(1.0, 1.5]","(400.0, 600.0]",46
"(24.0, 28.0]","(1.0, 1.5]","(600.0, 800.0]",73
"(24.0, 28.0]","(1.0, 1.5]","(800.0, 1000.0]",29
"(24.0, 28.0]","(1.0, 1.5]","(1000.0, 1200.0]",29
"(24.0, 28.0]","(1.0, 1.5]","(1600.0, 1800.0]",1
"(24.0, 28.0]","(1.5, 2.0]","(-0.001, 200.0]",1181
"(24.0, 28.0]","(1.5, 2.0]","(200.0, 400.0]",171
"(24.0, 28.0]","(1.5, 2.0]","(400.0, 600.0]",72
"(24.0, 28.0]","(1.5, 2.0]","(600.0, 800.0]",91
"(24.0, 28.0]","(1.5, 2.0]","(800.0, 1000.0]",24
"(24.0, 28.0]","(1.5, 2.0]","(1000.0, 1200.0]",30
"(24.0, 28.0]","(1.5, 2.0]","(1600.0, 1800.0]",1
"(24.0, 28.0]","(2.0, 2.5]","(-0.001, 200.0]",628
"(24.0, 28.0]","(2.0, 2.5]","(200.0, 400.0]",95
"(24.0, 28.0]","(2.0, 2.5]","(400.0, 600.0]",32
"(24.0, 28.0]","(2.0, 2.5]","(600.0, 800.0]",32
"(24.0, 28.0]","(2.0, 2.5]","(800.0, 1000.0]",11
"(24.0, 28.0]","(2.0, 2.5]","(1000.0, 1200.0]",13
"(24.0, 28.0]","(2.5, 3.0]","(-0.001, 200.0]",806
"(24.0, 28.0]","(2.5, 3.0]","(200.0, 400.0]",157
"(24.0, 28.0]","(2.5, 3.0]","(400.0, 600.0]",40
"(24.0, 28.0]","(2.5, 3.0]","(600.0, 800.0]",72
"(24.0, 28.0]","(2.5, 3.0]","(800.0, 1000.0]",20
"(24.0, 28.0]","(2.5, 3.0]","(1000.0, 1200.0]",19
"(24.0, 28.0]","(3.0, 3.5]","(-0.001, 200.0]",414
"(24.0, 28.0]","(3.0, 3.5]","(200.0, 400.0]",78
"(24.0, 28.0]","(3.0, 3.5]","(400.0, 600.0]",29
"(24.0, 28.0]","(3.0, 3.5]","(600.0, 800.0]",23
"(24.0, 28.0]","(3.0, 3.5]","(800.0, 1000.0]",8
"(24.0, 28.0]","(3.0, 3.5]","(1000.0, 1200.0]",7
"(24.0, 28.0]","(3.0, 3.5]","(1400.0, 1600.0]",1
"(24.0, 28.0]","(3.0, 3.5]","(1600.0, 1800.0]",1
"(24.0, 28.0]","(3.5, 4.0]","(-0.001, 200.0]",556
"(24.0, 28.0]","(3.5, 4.0]","(200.0, 400.0]",88
"(24.0, 28.0]","(3.5, 4.0]","(400.0, 600.0]",45
"(24.0, 28.0]","(3.5, 4.0]","(600.0, 800.0]",37
"(24.0, 28.0]","(3.5, 4.0]","(800.0, 1000.0]",11
"(24.0, 28.0]","(3.5, 4.0]","(1000.0, 1200.0]",19
"(24.0, 28.0]","(3.5, 4.0]","(1400.0, 1600.0]",1
"(24.0, 28.0]","(3.5, 4.0]","(1600.0, 1800.0]",1
"(24.0, 28.0]","(4.0, 4.5]","(-0.001, 200.0]",301
"(24.0, 28.0]","(4.0, 4.5]","(200.0, 400.0]",53
"(24.0, 28.0]","(4.0, 4.5]","(400.0, 600.0]",19
"(24.0, 28.0]","(4.0, 4.5]","(600.0, 800.0]",24
"(24.0, 28.0]","(4.0, 4.5]","(800.0, 1000.0]",9
"(24.0, 28.0]","(4.0, 4.5]","(1000.0, 1200.0]",3
"(24.0, 28.0]","(4.5, 5.0]","(-0.001, 200.0]",449
"(24.0, 28.0]","(4.5, 5.0]","(200.0, 400.0]",85
"(24.0, 28.0]","(4.5, 5.0]","(400.0, 600.0]",21
"(24.0, 28.0]","(4.5, 5.0]","(600.0, 800.0]",39
"(24.0, 28.0]","(4.5, 5.0]","(800.0, 1000.0]",14
"(24.0, 28.0]","(4.5, 5.0]","(1000.0, 1200.0]",9
"(28.0, 32.0]","(-0.001, 0.5]","(-0.001, 200.0]",59388
"(28.0, 32.0]","(-0.001, 0.5]","(200.0, 400.0]",17697
"(28.0, 32.0]","(-0.001, 0.5]","(400.0, 600.0]",4657
"(28.0, 32.0]","(-0.001, 0.5]","(600.0, 800.0]",3371
"(28.0, 32.0]","(-0.001, 0.5]","(800.0, 1000.0]",754
"(28.0, 32.0]","(-0.001, 0.5]","(1000.0, 1200.0]",671
"(28.0, 32.0]","(-0.001, 0.5]","(1400.0, 1600.0]",4
"(28.0, 32.0]","(-0.001, 0.5]","(1600.0, 1800.0]",23
"(28.0, 32.0]","(-0.001, 0.5]","(1800.0, 2000.0]",1
"(28.0, 32.0]","(0.5, 1.0]","(-0.001, 200.0]",1824
"(28.0, 32.0]","(0.5, 1.0]","(200.0, 400.0]",348
"(28.0, 32.0]","(0.5, 1.0]","(400.0, 600.0]",117
"(28.0, 32.0]","(0.5, 1.0]","(600.0, 800.0]",76
"(28.0, 32.0]","(0.5, 1.0]","(800.0, 1000.0]",18
"(28.0, 32.0]","(0.5, 1.0]","(1000.0, 1200.0]",20
"(28.0, 32.0]","(0.5, 1.0]","(1600.0, 1800.0]",1
"(28.0, 32.0]","(1.0, 1.5]","(-0.001, 200.0]",865
"(28.0, 32.0]","(1.0, 1.5]","(200.0, 400.0]",176
"(28.0, 32.0]","(1.0, 1.5]","(400.0, 600.0]",51
"(28.0, 32.0]","(1.0, 1.5]","(600.0, 800.0]",37
"(28.0, 32.0]","(1.0, 1.5]","(800.0, 1000.0]",8
"(28.0, 32.0]","(1.0, 1.5]","(1000.0, 1200.0]",9
"(28.0, 32.0]","(1.5, 2.0]","(-0.001, 200.0]",1005
"(28.0, 32.0]","(1.5, 2.0]","(200.0, 400.0]",186
"(28.0, 32.0]","(1.5, 2.0]","(400.0, 600.0]",45
"(28.0, 32.0]","(1.5, 2.0]","(600.0, 800.0]",33
"(28.0, 32.0]","(1.5, 2.0]","(800.0, 1000.0]",10
"(28.0, 32.0]","(1.5, 2.0]","(1000.0, 1200.0]",8
"(28.0, 32.0]","(2.0, 2.5]","(-0.001, 200.0]",508
"(28.0, 32.0]","(2.0, 2.5]","(200.0, 400.0]",97
"(28.0, 32.0]","(2.0, 2.5]","(400.0, 600.0]",31
"(28.0, 32.0]","(2.0, 2.5]","(600.0, 800.0]",29
"(28.0, 32.0]","(2.0, 2.5]","(800.0, 1000.0]",3
"(28.0, 32.0]","(2.0, 2.5]","(1000.0, 1200.0]",6
"(28.0, 32.0]","(2.5, 3.0]","(-0.001, 200.0]",678
"(28.0, 32.0]","(2.5, 3.0]","(200.0, 400.0]",133
"(28.0, 32.0]","(2.5, 3.0]","(400.0, 600.0]",45
"(28.0, 32.0]","(2.5, 3.0]","(600.0, 800.0]",24
"(28.0, 32.0]","(2.5, 3.0]","(800.0, 1000.0]",10
"(28.0, 32.0]","(2.5, 3.0]","(1000.0, 1200.0]",9
"(28.0, 32.0]","(3.0, 3.5]","(-0.001, 200.0]",346
"(28.0, 32.0]","(3.0, 3.5]","(200.0, 400.0]",84
"(28.0, 32.0]","(3.0, 3.5]","(400.0, 600.0]",26
"(28.0, 32.0]","(3.0, 3.5]","(600.0, 800.0]",21
"(28.0, 32.0]","(3.0, 3.5]","(800.0, 1000.0]",3
"(28.0, 32.0]","(3.0, 3.5]","(1000.0, 1200.0]",8
"(28.0, 32.0]","(3.5, 4.0]","(-0.001, 200.0]",526
"(28.0, 32.0]","(3.5, 4.0]","(200.0, 400.0]",75
"(28.0, 32.0]","(3.5, 4.0]","(400.0, 600.0]",26
"(28.0, 32.0]","(3.5, 4.0]","(600.0, 800.0]",23
"(28.0, 32.0]","(3.5, 4.0]","(800.0, 1000.0]",5
"(28.0, 32.0]","(3.5, 4.0]","(1000.0, 1200.0]",11
"(28.0, 32.0]","(4.0, 4.5]","(-0.001, 200.0]",292
"(28.0, 32.0]","(4.0, 4.5]","(200.0, 400.0]",67
"(28.0, 32.0]","(4.0, 4.5]","(400.0, 600.0]",17
"(28.0, 32.0]","(4.0, 4.5]","(600.0, 800.0]",11
"(28.0, 32.0]","(4.0, 4.5]","(800.0, 1000.0]",2
"(28.0, 32.0]","(4.0, 4.5]","(1000.0, 1200.0]",3
"(28.0, 32.0]","(4.5, 5.0]","(-0.001, 200.0]",417
"(28.0, 32.0]","(4.5, 5.0]","(200.0, 400.0]",71
"(28.0, 32.0]","(4.5, 5.0]","(400.0, 600.0]",33
"(28.0, 32.0]","(4.5, 5.0]","(600.0, 800.0]",16
"(28.0, 32.0]","(4.5, 5.0]","(800.0, 1000.0]",3
"(28.0, 32.0]","(4.5, 5.0]","(1000.0, 1200.0]",3
"(32.0, 36.0]","(-0.001, 0.5]","(-0.001, 200.0]",50131
"(32.0, 36.0]","(-0.001, 0.5]","(200.0, 400.0]",15768
"(32.0, 36.0]","(-0.001, 0.5]","(400.0, 600.0]",3494
"(32.0, 36.0]","(-0.001, 0.5]","(600.0, 800.0]",1980
"(32.0, 36.0]","(-0.001, 0.5]","(800.0, 1000.0]",297
"(32.0, 36.0]","(-0.001, 0.5]","(1000.0, 1200.0]",187
"(32.0, 36.0]","(-0.001, 0.5]","(1600.0, 1800.0]",3
"(32.0, 36.0]","(0.5, 1.0]","(-0.001, 200.0]",1220
"(32.0, 36.0]","(0.5, 1.0]","(200.0, 400.0]",326
"(32.0, 36.0]","(0.5, 1.0]","(400.0, 600.0]",83
"(32.0, 36.0]","(0.5, 1.0]","(600.0, 800.0]",30
"(32.0, 36.0]","(0.5, 1.0]","(800.0, 1000.0]",6
"(32.0, 36.0]","(0.5, 1.0]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(1.0, 1.5]","(-0.001, 200.0]",625
"(32.0, 36.0]","(1.0, 1.5]","(200.0, 400.0]",148
"(32.0, 36.0]","(1.0, 1.5]","(400.0, 600.0]",37
"(32.0, 36.0]","(1.0, 1.5]","(600.0, 800.0]",17
"(32.0, 36.0]","(1.0, 1.5]","(800.0, 1000.0]",3
"(32.0, 36.0]","(1.0, 1.5]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(1.5, 2.0]","(-0.001, 200.0]",665
"(32.0, 36.0]","(1.5, 2.0]","(200.0, 400.0]",177
"(32.0, 36.0]","(1.5, 2.0]","(400.0, 600.0]",52
"(32.0, 36.0]","(1.5, 2.0]","(600.0, 800.0]",19
"(32.0, 36.0]","(1.5, 2.0]","(800.0, 1000.0]",1
"(32.0, 36.0]","(1.5, 2.0]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(2.0, 2.5]","(-0.001, 200.0]",375
"(32.0, 36.0]","(2.0, 2.5]","(200.0, 400.0]",104
"(32.0, 36.0]","(2.0, 2.5]","(400.0, 600.0]",31
"(32.0, 36.0]","(2.0, 2.5]","(600.0, 800.0]",14
"(32.0, 36.0]","(2.0, 2.5]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(2.5, 3.0]","(-0.001, 200.0]",441
"(32.0, 36.0]","(2.5, 3.0]","(200.0, 400.0]",115
"(32.0, 36.0]","(2.5, 3.0]","(400.0, 600.0]",25
"(32.0, 36.0]","(2.5, 3.0]","(600.0, 800.0]",13
"(32.0, 36.0]","(2.5, 3.0]","(800.0, 1000.0]",1
"(32.0, 36.0]","(2.5, 3.0]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(3.0, 3.5]","(-0.001, 200.0]",293
"(32.0, 36.0]","(3.0, 3.5]","(200.0, 400.0]",75
"(32.0, 36.0]","(3.0, 3.5]","(400.0, 600.0]",20
"(32.0, 36.0]","(3.0, 3.5]","(600.0, 800.0]",14
"(32.0, 36.0]","(3.0, 3.5]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(3.5, 4.0]","(-0.001, 200.0]",347
"(32.0, 36.0]","(3.5, 4.0]","(200.0, 400.0]",99
"(32.0, 36.0]","(3.5, 4.0]","(400.0, 600.0]",26
"(32.0, 36.0]","(3.5, 4.0]","(600.0, 800.0]",6
"(32.0, 36.0]","(3.5, 4.0]","(800.0, 1000.0]",1
"(32.0, 36.0]","(3.5, 4.0]","(1000.0, 1200.0]",2
"(32.0, 36.0]","(4.0, 4.5]","(-0.001, 200.0]",212
"(32.0, 36.0]","(4.0, 4.5]","(200.0, 400.0]",63
"(32.0, 36.0]","(4.0, 4.5]","(400.0, 600.0]",14
"(32.0, 36.0]","(4.0, 4.5]","(600.0, 800.0]",7
"(32.0, 36.0]","(4.0, 4.5]","(800.0, 1000.0]",1
"(32.0, 36.0]","(4.0, 4.5]","(1000.0, 1200.0]",1
"(32.0, 36.0]","(4.5, 5.0]","(-0.001, 200.0]",295
"(32.0, 36.0]","(4.5, 5.0]","(200.0, 400.0]",72
"(32.0, 36.0]","(4.5, 5.0]","(400.0, 600.0]",15
"(32.0, 36.0]","(4.5, 5.0]","(600.0, 800.0]",4
"(32.0, 36.0]","(4.5, 5.0]","(1000.0, 1200.0]",1
"(36.0, 40.0]","(-0.001, 0.5]","(-0.001, 200.0]",21563
"(36.0, 40.0]","(-0.001, 0.5]","(200.0, 400.0]",10642
"(36.0, 40.0]","(-0.001, 0.5]","(400.0, 600.0]",2293
"(36.0, 40.0]","(-0.001, 0.5]","(600.0, 800.0]",1095
"(36.0, 40.0]","(-0.001, 0.5]","(800.0, 1000.0]",69
"(36.0, 40.0]","(-0.001, 0.5]","(1000.0, 1200.0]",24
"(36.0, 40.0]","(0.5, 1.0]","(-0.001, 200.0]",352
"(36.0, 40.0]","(0.5, 1.0]","(200.0, 400.0]",204
"(36.0, 40.0]","(0.5, 1.0]","(400.0, 600.0]",40
"(36.0, 40.0]","(0.5, 1.0]","(600.0, 800.0]",20
"(36.0, 40.0]","(1.0, 1.5]","(-0.001, 200.0]",143
"(36.0, 40.0]","(1.0, 1.5]","(200.0, 400.0]",80
"(36.0, 40.0]","(1.0, 1.5]","(400.0, 600.0]",14
"(36.0, 40.0]","(1.0, 1.5]","(600.0, 800.0]",10
"(36.0, 40.0]","(1.0, 1.5]","(1000.0, 1200.0]",1
"(36.0, 40.0]","(1.5, 2.0]","(-0.001, 200.0]",159
"(36.0, 40.0]","(1.5, 2.0]","(200.0, 400.0]",107
"(36.0, 40.0]","(1.5, 2.0]","(400.0, 600.0]",24
"(36.0, 40.0]","(1.5, 2.0]","(600.0, 800.0]",5
"(36.0, 40.0]","(2.0, 2.5]","(-0.001, 200.0]",93
"(36.0, 40.0]","(2.0, 2.5]","(200.0, 400.0]",41
"(36.0, 40.0]","(2.0, 2.5]","(400.0, 600.0]",16
"(36.0, 40.0]","(2.0, 2.5]","(600.0, 800.0]",3
"(36.0, 40.0]","(2.5, 3.0]","(-0.001, 200.0]",111
"(36.0, 40.0]","(2.5, 3.0]","(200.0, 400.0]",68
"(36.0, 40.0]","(2.5, 3.0]","(400.0, 600.0]",8
"(36.0, 40.0]","(2.5, 3.0]","(600.0, 800.0]",8
"(36.0, 40.0]","(3.0, 3.5]","(-0.001, 200.0]",69
"(36.0, 40.0]","(3.0, 3.5]","(200.0, 400.0]",49
"(36.0, 40.0]","(3.0, 3.5]","(400.0, 600.0]",11
"(36.0, 40.0]","(3.5, 4.0]","(-0.001, 200.0]",82
"(36.0, 40.0]","(3.5, 4.0]","(200.0, 400.0]",49
"(36.0, 40.0]","(3.5, 4.0]","(400.0, 600.0]",7
"(36.0, 40.0]","(3.5, 4.0]","(600.0, 800.0]",8
"(36.0, 40.0]","(4.0, 4.5]","(-0.001, 200.0]",48
"(36.0, 40.0]","(4.0, 4.5]","(200.0, 400.0]",23
"(36.0, 40.0]","(4.0, 4.5]","(400.0, 600.0]",1
"(36.0, 40.0]","(4.0, 4.5]","(600.0, 800.0]",1
"(36.0, 40.0]","(4.5, 5.0]","(-0.001, 200.0]",70
"(36.0, 40.0]","(4.5, 5.0]","(200.0, 400.0]",30
"(36.0, 40.0]","(4.5, 5.0]","(400.0, 600.0]",2
"(36.0, 40.0]","(4.5, 5.0]","(600.0, 800.0]",5
"(40.0, 44.0]","(-0.001, 0.5]","(-0.001, 200.0]",7924
"(40.0, 44.0]","(-0.001, 0.5]","(200.0, 400.0]",3602
"(40.0, 44.0]","(-0.001, 0.5]","(400.0, 600.0]",885
"(40.0, 44.0]","(-0.001, 0.5]","(600.0, 800.0]",303
"(40.0, 44.0]","(-0.001, 0.5]","(800.0, 1000.0]",4
"(40.0, 44.0]","(0.5, 1.0]","(-0.001, 200.0]",83
"(40.0, 44.0]","(0.5, 1.0]","(200.0, 400.0]",39
"(40.0, 44.0]","(0.5, 1.0]","(400.0, 600.0]",13
"(40.0, 44.0]","(0.5, 1.0]","(600.0, 800.0]",2
"(40.0, 44.0]","(1.0, 1.5]","(-0.001, 200.0]",29
"(40.0, 44.0]","(1.0, 1.5]","(200.0, 400.0]",17
"(40.0, 44.0]","(1.0, 1.5]","(400.0, 600.0]",9
"(40.0, 44.0]","(1.0, 1.5]","(600.0, 800.0]",2
"(40.0, 44.0]","(1.5, 2.0]","(-0.001, 200.0]",43
"(40.0, 44.0]","(1.5, 2.0]","(200.0, 400.0]",25
"(40.0, 44.0]","(1.5, 2.0]","(400.0, 600.0]",5
"(40.0, 44.0]","(2.0, 2.5]","(-0.001, 200.0]",14
