temp_bin,rainfall_bin,height_bin,count
"(4.0, 8.0]","(0.5, 1.0]","(1000.0, 1200.0]",178
"(4.0, 8.0]","(0.5, 1.0]","(1400.0, 1600.0]",28
"(4.0, 8.0]","(0.5, 1.0]","(1600.0, 1800.0]",42
"(4.0, 8.0]","(0.5, 1.0]","(1800.0, 2000.0]",15
"(4.0, 8.0]","(1.0, 1.5]","(-0.001, 200.0]",2
"(4.0, 8.0]","(1.0, 1.5]","(200.0, 400.0]",4
"(4.0, 8.0]","(1.0, 1.5]","(400.0, 600.0]",22
"(4.0, 8.0]","(1.0, 1.5]","(600.0, 800.0]",34
"(4.0, 8.0]","(1.0, 1.5]","(800.0, 1000.0]",66
"(4.0, 8.0]","(1.0, 1.5]","(1000.0, 1200.0]",73
"(4.0, 8.0]","(1.0, 1.5]","(1400.0, 1600.0]",15
"(4.0, 8.0]","(1.0, 1.5]","(1600.0, 1800.0]",13
"(4.0, 8.0]","(1.0, 1.5]","(1800.0, 2000.0]",5
"(4.0, 8.0]","(1.5, 2.0]","(-0.001, 200.0]",2
"(4.0, 8.0]","(1.5, 2.0]","(200.0, 400.0]",6
"(4.0, 8.0]","(1.5, 2.0]","(400.0, 600.0]",35
"(4.0, 8.0]","(1.5, 2.0]","(600.0, 800.0]",52
"(4.0, 8.0]","(1.5, 2.0]","(800.0, 1000.0]",79
"(4.0, 8.0]","(1.5, 2.0]","(1000.0, 1200.0]",98
"(4.0, 8.0]","(1.5, 2.0]","(1400.0, 1600.0]",8
"(4.0, 8.0]","(1.5, 2.0]","(1600.0, 1800.0]",24
"(4.0, 8.0]","(1.5, 2.0]","(1800.0, 2000.0]",11
"(4.0, 8.0]","(2.0, 2.5]","(-0.001, 200.0]",4
"(4.0, 8.0]","(2.0, 2.5]","(200.0, 400.0]",4
"(4.0, 8.0]","(2.0, 2.5]","(400.0, 600.0]",14
"(4.0, 8.0]","(2.0, 2.5]","(600.0, 800.0]",22
"(4.0, 8.0]","(2.0, 2.5]","(800.0, 1000.0]",56
"(4.0, 8.0]","(2.0, 2.5]","(1000.0, 1200.0]",51
"(4.0, 8.0]","(2.0, 2.5]","(1400.0, 1600.0]",9
"(4.0, 8.0]","(2.0, 2.5]","(1600.0, 1800.0]",14
"(4.0, 8.0]","(2.0, 2.5]","(1800.0, 2000.0]",4
"(4.0, 8.0]","(2.5, 3.0]","(-0.001, 200.0]",1
"(4.0, 8.0]","(2.5, 3.0]","(200.0, 400.0]",5
"(4.0, 8.0]","(2.5, 3.0]","(400.0, 600.0]",24
"(4.0, 8.0]","(2.5, 3.0]","(600.0, 800.0]",42
"(4.0, 8.0]","(2.5, 3.0]","(800.0, 1000.0]",83
"(4.0, 8.0]","(2.5, 3.0]","(1000.0, 1200.0]",62
"(4.0, 8.0]","(2.5, 3.0]","(1400.0, 1600.0]",11
"(4.0, 8.0]","(2.5, 3.0]","(1600.0, 1800.0]",19
"(4.0, 8.0]","(2.5, 3.0]","(1800.0, 2000.0]",5
"(4.0, 8.0]","(3.0, 3.5]","(-0.001, 200.0]",1
"(4.0, 8.0]","(3.0, 3.5]","(200.0, 400.0]",1
"(4.0, 8.0]","(3.0, 3.5]","(400.0, 600.0]",18
